id,text,target,target_usd
746075806,"Goal (log1p USD): 9.364
Campaign duration (days): 30.416
Prelaunch duration (days): 116.766
Campaign name character count: 12
Campaign name word count: 1
Blurb character count: 104
Blurb word count: 19
Launch year: 2018
Launch month: 5
Launch day: 22
Launch weekday: 1
Launch hour: 14
Has video: 1
Prelaunch activated: 0
Country: CA
Currency: CAD
Parent category: Film & Video
Category: Documentary
Location type: Town
Location country: CA
Location state: ON",10.4995,36295.9185519355
1638770732,"Goal (log1p USD): 4.678
Campaign duration (days): 27
Prelaunch duration (days): 4.452
Campaign name character count: 50
Campaign name word count: 7
Blurb character count: 104
Blurb word count: 22
Launch year: 2022
Launch month: 12
Launch day: 31
Launch weekday: 5
Launch hour: 23
Has video: 1
Prelaunch activated: 1
Country: DE
Currency: EUR
Parent category: Art
Category: Painting
Location type: LocalAdmin
Location country: DE
Location state: Rhineland-Palatinate",8.1097,3325.53716938
511984273,"Goal (log1p USD): 9.904
Campaign duration (days): 30
Prelaunch duration (days): 14.753
Campaign name character count: 13
Campaign name word count: 3
Blurb character count: 62
Blurb word count: 8
Launch year: 2023
Launch month: 4
Launch day: 21
Launch weekday: 4
Launch hour: 15
Has video: 1
Prelaunch activated: 1
Country: US
Currency: USD
Parent category: Film & Video
Category: Horror
Location type: Town
Location country: US
Location state: AL",10.3097,30020.66
454361169,"Goal (log1p USD): 5.012
Campaign duration (days): 60
Prelaunch duration (days): 4.002
Campaign name character count: 54
Campaign name word count: 10
Blurb character count: 96
Blurb word count: 14
Launch year: 2018
Launch month: 7
Launch day: 10
Launch weekday: 1
Launch hour: 10
Has video: 0
Prelaunch activated: 0
Country: AU
Currency: AUD
Parent category: Games
Category: Mobile Games
Location type: Town
Location country: AU
Location state: QLD",4.6605,104.6836845216
1898407662,"Goal (log1p USD): 7.586
Campaign duration (days): 30
Prelaunch duration (days): 2.117
Campaign name character count: 45
Campaign name word count: 8
Blurb character count: 123
Blurb word count: 18
Launch year: 2020
Launch month: 1
Launch day: 4
Launch weekday: 5
Launch hour: 12
Has video: 1
Prelaunch activated: 0
Country: GB
Currency: GBP
Parent category: Design
Category: Graphic Design
Location type: Town
Location country: GB
Location state: England",6.5331,686.49405199
1245242118,"Goal (log1p USD): 9.789
Campaign duration (days): 30.042
Prelaunch duration (days): 6.717
Campaign name character count: 33
Campaign name word count: 6
Blurb character count: 127
Blurb word count: 19
Launch year: 2025
Launch month: 10
Launch day: 13
Launch weekday: 0
Launch hour: 12
Has video: 1
Prelaunch activated: 1
Country: CA
Currency: CAD
Parent category: Games
Category: Video Games
Location type: Town
Location country: CA
Location state: QC",4.9526,140.53861209
1655499131,"Goal (log1p USD): 9.21
Campaign duration (days): 30
Prelaunch duration (days): 14.294
Campaign name character count: 10
Campaign name word count: 2
Blurb character count: 61
Blurb word count: 12
Launch year: 2025
Launch month: 3
Launch day: 17
Launch weekday: 0
Launch hour: 7
Has video: 0
Prelaunch activated: 0
Country: US
Currency: USD
Parent category: Food
Category: Restaurants
Location type: Town
Location country: US
Location state: NY",9.3336,11311.0
161997730,"Goal (log1p USD): 7.893
Campaign duration (days): 59.958
Prelaunch duration (days): 0.079
Campaign name character count: 60
Campaign name word count: 9
Blurb character count: 132
Blurb word count: 15
Launch year: 2025
Launch month: 2
Launch day: 8
Launch weekday: 5
Launch hour: 23
Has video: 0
Prelaunch activated: 0
Country: NO
Currency: NOK
Parent category: Photography
Category: Animals
Location type: Town
Location country: NO
Location state: Oslo Fylke",0.0000,0.0
1997872118,"Goal (log1p USD): 8.517
Campaign duration (days): 37.011
Prelaunch duration (days): 15.022
Campaign name character count: 15
Campaign name word count: 2
Blurb character count: 132
Blurb word count: 20
Launch year: 2012
Launch month: 8
Launch day: 2
Launch weekday: 3
Launch hour: 0
Has video: 1
Prelaunch activated: 0
Country: US
Currency: USD
Parent category: Publishing
Category: Periodicals
Location type: Town
Location country: US
Location state: NY",9.0321,8366.0
1458895027,"Goal (log1p USD): 9.54
Campaign duration (days): 30
Prelaunch duration (days): 62.664
Campaign name character count: 20
Campaign name word count: 4
Blurb character count: 78
Blurb word count: 11
Launch year: 2024
Launch month: 8
Launch day: 25
Launch weekday: 6
Launch hour: 3
Has video: 1
Prelaunch activated: 1
Country: DE
Currency: EUR
Parent category: Film & Video
Category: Shorts
Location type: Town
Location country: DE
Location state: Schleswig-Holstein",9.5686,14307.66199701
