id,text,target,target_usd
746075806,"Predict the final Kickstarter funding value as log1p(USD) from the following campaign features. Output only the numeric value.

Campaign features:
log_goal_usd=9.364;duration_days=30.416;prelaunch_days=116.766;name_char_length=12;name_word_count=1;blurb_char_length=104;blurb_word_count=19;launch_year=2018;launch_month=5;launch_day=22;launch_weekday=1;launch_hour=14;has_video=1;prelaunch_activated=0;country=CA;currency=CAD;category_parent=Film & Video;category_name=Documentary;location_type=Town;location_country=CA;location_state=ON",10.4995,36295.9185519355
1638770732,"Predict the final Kickstarter funding value as log1p(USD) from the following campaign features. Output only the numeric value.

Campaign features:
log_goal_usd=4.678;duration_days=27;prelaunch_days=4.452;name_char_length=50;name_word_count=7;blurb_char_length=104;blurb_word_count=22;launch_year=2022;launch_month=12;launch_day=31;launch_weekday=5;launch_hour=23;has_video=1;prelaunch_activated=1;country=DE;currency=EUR;category_parent=Art;category_name=Painting;location_type=LocalAdmin;location_country=DE;location_state=Rhineland-Palatinate",8.1097,3325.53716938
511984273,"Predict the final Kickstarter funding value as log1p(USD) from the following campaign features. Output only the numeric value.

Campaign features:
log_goal_usd=9.904;duration_days=30;prelaunch_days=14.753;name_char_length=13;name_word_count=3;blurb_char_length=62;blurb_word_count=8;launch_year=2023;launch_month=4;launch_day=21;launch_weekday=4;launch_hour=15;has_video=1;prelaunch_activated=1;country=US;currency=USD;category_parent=Film & Video;category_name=Horror;location_type=Town;location_country=US;location_state=AL",10.3097,30020.66
454361169,"Predict the final Kickstarter funding value as log1p(USD) from the following campaign features. Output only the numeric value.

Campaign features:
log_goal_usd=5.012;duration_days=60;prelaunch_days=4.002;name_char_length=54;name_word_count=10;blurb_char_length=96;blurb_word_count=14;launch_year=2018;launch_month=7;launch_day=10;launch_weekday=1;launch_hour=10;has_video=0;prelaunch_activated=0;country=AU;currency=AUD;category_parent=Games;category_name=Mobile Games;location_type=Town;location_country=AU;location_state=QLD",4.6605,104.6836845216
1898407662,"Predict the final Kickstarter funding value as log1p(USD) from the following campaign features. Output only the numeric value.

Campaign features:
log_goal_usd=7.586;duration_days=30;prelaunch_days=2.117;name_char_length=45;name_word_count=8;blurb_char_length=123;blurb_word_count=18;launch_year=2020;launch_month=1;launch_day=4;launch_weekday=5;launch_hour=12;has_video=1;prelaunch_activated=0;country=GB;currency=GBP;category_parent=Design;category_name=Graphic Design;location_type=Town;location_country=GB;location_state=England",6.5331,686.49405199
1245242118,"Predict the final Kickstarter funding value as log1p(USD) from the following campaign features. Output only the numeric value.

Campaign features:
log_goal_usd=9.789;duration_days=30.042;prelaunch_days=6.717;name_char_length=33;name_word_count=6;blurb_char_length=127;blurb_word_count=19;launch_year=2025;launch_month=10;launch_day=13;launch_weekday=0;launch_hour=12;has_video=1;prelaunch_activated=1;country=CA;currency=CAD;category_parent=Games;category_name=Video Games;location_type=Town;location_country=CA;location_state=QC",4.9526,140.53861209
1655499131,"Predict the final Kickstarter funding value as log1p(USD) from the following campaign features. Output only the numeric value.

Campaign features:
log_goal_usd=9.21;duration_days=30;prelaunch_days=14.294;name_char_length=10;name_word_count=2;blurb_char_length=61;blurb_word_count=12;launch_year=2025;launch_month=3;launch_day=17;launch_weekday=0;launch_hour=7;has_video=0;prelaunch_activated=0;country=US;currency=USD;category_parent=Food;category_name=Restaurants;location_type=Town;location_country=US;location_state=NY",9.3336,11311.0
161997730,"Predict the final Kickstarter funding value as log1p(USD) from the following campaign features. Output only the numeric value.

Campaign features:
log_goal_usd=7.893;duration_days=59.958;prelaunch_days=0.079;name_char_length=60;name_word_count=9;blurb_char_length=132;blurb_word_count=15;launch_year=2025;launch_month=2;launch_day=8;launch_weekday=5;launch_hour=23;has_video=0;prelaunch_activated=0;country=NO;currency=NOK;category_parent=Photography;category_name=Animals;location_type=Town;location_country=NO;location_state=Oslo Fylke",0.0000,0.0
1997872118,"Predict the final Kickstarter funding value as log1p(USD) from the following campaign features. Output only the numeric value.

Campaign features:
log_goal_usd=8.517;duration_days=37.011;prelaunch_days=15.022;name_char_length=15;name_word_count=2;blurb_char_length=132;blurb_word_count=20;launch_year=2012;launch_month=8;launch_day=2;launch_weekday=3;launch_hour=0;has_video=1;prelaunch_activated=0;country=US;currency=USD;category_parent=Publishing;category_name=Periodicals;location_type=Town;location_country=US;location_state=NY",9.0321,8366.0
1458895027,"Predict the final Kickstarter funding value as log1p(USD) from the following campaign features. Output only the numeric value.

Campaign features:
log_goal_usd=9.54;duration_days=30;prelaunch_days=62.664;name_char_length=20;name_word_count=4;blurb_char_length=78;blurb_word_count=11;launch_year=2024;launch_month=8;launch_day=25;launch_weekday=6;launch_hour=3;has_video=1;prelaunch_activated=1;country=DE;currency=EUR;category_parent=Film & Video;category_name=Shorts;location_type=Town;location_country=DE;location_state=Schleswig-Holstein",9.5686,14307.66199701
991892505,"Predict the final Kickstarter funding value as log1p(USD) from the following campaign features. Output only the numeric value.

Campaign features:
log_goal_usd=8.684;duration_days=29.371;prelaunch_days=15.219;name_char_length=12;name_word_count=2;blurb_char_length=73;blurb_word_count=14;launch_year=2017;launch_month=10;launch_day=21;launch_weekday=5;launch_hour=14;has_video=1;prelaunch_activated=0;country=NL;currency=EUR;category_parent=Fashion;category_name=Footwear;location_type=Town;location_country=NL;location_state=North Holland",8.7614,6382.08099
533843308,"Predict the final Kickstarter funding value as log1p(USD) from the following campaign features. Output only the numeric value.

Campaign features:
log_goal_usd=8.76;duration_days=23.109;prelaunch_days=41.364;name_char_length=32;name_word_count=4;blurb_char_length=111;blurb_word_count=18;launch_year=2021;launch_month=6;launch_day=9;launch_weekday=2;launch_hour=18;has_video=0;prelaunch_activated=1;country=GB;currency=GBP;category_parent=Food;category_name=Drinks;location_type=Town;location_country=GB;location_state=Scotland",6.8120,907.68901791
